Count,Instrument 1,Instrument 2,Section,,,,,
,,,Intro 1,,,,,
,,,Intro 1,,,,,
1,,,Intro 1,1,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
2,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
3,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
4,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
5,,,Intro 1,2,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
6,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
7,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
8,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
9,,,Intro 1,3,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
10,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
11,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
12,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
13,,,Intro 1,4,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
14,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
15,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
16,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
17,,,Intro 1,5,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
18,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
19,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
20,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
21,,,Intro 1,6,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
22,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
23,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
24,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
25,,,Intro 1,7,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
26,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
27,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
28,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
29,,,Intro 1,8,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
30,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
31,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
32,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
33,Crash Cymbal,Bass Drum,Intro 2,9,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
34,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
35,,,Intro 2, ,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
36,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Ride Cymbal,Ride Cymbal,Intro 2,,,,,
a,Ride Cymbal,Ride Cymbal,Intro 2,,,,,
37,Ride Cymbal,Ride Cymbal,Intro 2,10,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
38,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
39,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
40,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
41,Crash Cymbal,Bass Drum,Intro 2,11,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
42,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
43,,,Intro 2, ,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
44,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Ride Cymbal,Ride Cymbal,Intro 2,,,,,
a,Ride Cymbal,Ride Cymbal,Intro 2,,,,,
45,Ride Cymbal,Ride Cymbal,Intro 2,12,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
46,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
47,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
48,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
49,Crash Cymbal,Bass Drum,Intro 2,13,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
50,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
51,,,Intro 2, ,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
52,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Ride Cymbal,Ride Cymbal,Intro 2,,,,,
a,Ride Cymbal,Ride Cymbal,Intro 2,,,,,
53,Ride Cymbal,Ride Cymbal,Intro 2,14,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
54,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
55,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
56,,,Intro 2,,,,,
e,,,Intro 2,,,,,
&,,,Intro 2,,,,,
a,,,Intro 2,,,,,
57,Bass Drum,Crash Cymbal,Intro 2,15,,,,
e,,,Intro 2,,,,,
&,Tom-tom,Snare Drum,Intro 2,,,,,
a,,,Intro 2,,,,,
58,Tom-tom,Snare Drum,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Tom-tom,Snare Drum,Intro 2,,,,,
a,,,Intro 2,,,,,
59,Tom-tom,Snare Drum,Intro 2, ,,,,
e,,,Intro 2,,,,,
&,Tom-tom,Snare Drum,Intro 2,,,,,
a,,,Intro 2,,,,,
60,Tom-tom,Snare Drum,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Tom-tom,Snare Drum,Intro 2,,,,,
a,,,Intro 2,,,,,
61,Tom-tom,Snare Drum,Intro 2,16,,,,
e,,,Intro 2,,,,,
&,Tom-tom,Snare Drum,Intro 2,,,,,
a,,,Intro 2,,,,,
62,Tom-tom,Snare Drum,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Tom-tom,Snare Drum,Intro 2,,,,,
a,,,Intro 2,,,,,
63,Tom-tom,Snare Drum,Intro 2,,,,,
e,,,Intro 2,,,,,
&,Bass Drum,,Intro 2,,,,,
a,,,Intro 2,,,,,
64,Tom-tom,Snare Drum,Intro 3,,,,,
e,,,Intro 3,,,,,
&,,,Intro 3,,,,,
a,,,Intro 3,,,,,
65,Bass Drum,Crash Cymbal,Intro 3,17,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
66,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
67,Bass Drum,Ride Cymbal,Intro 3, ,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
68,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
69,Bass Drum,Ride Cymbal,Intro 3,18,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
70,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
71,Bass Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
72,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
73,Bass Drum,Crash Cymbal,Intro 3,19,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
74,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
75,Bass Drum,Ride Cymbal,Intro 3, ,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
76,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
77,Bass Drum,Ride Cymbal,Intro 3,20,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
78,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
79,Bass Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
80,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
81,Bass Drum,Ride Cymbal,Intro 3,21,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
82,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
83,Bass Drum,Ride Cymbal,Intro 3, ,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
84,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
85,Bass Drum,Ride Cymbal,Intro 3,22,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
86,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
87,Bass Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
88,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
89,Bass Drum,Ride Cymbal,Intro 3,23,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
90,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
91,Bass Drum,Ride Cymbal,Intro 3, ,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
92,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
93,Bass Drum,Ride Cymbal,Intro 3,24,,,,
e,,,Intro 3,,,,,
&,Ride Cymbal,,Intro 3,,,,,
a,,,Intro 3,,,,,
94,Snare Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
95,Bass Drum,Ride Cymbal,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Snare Drum,Crash Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
96,Ride Cymbal, ,Intro 3,,,,,
e,,,Intro 3,,,,,
&,Bass Drum,Ride Cymbal,Intro 3,,,,,
a,,,Intro 3,,,,,
97,Snare Drum,Crash Cymbal,Intro 3,25,,,,
e,,,Intro 3,,,,,
&,Bass Drum,,Intro 3,,,,,
a,,,Intro 3,,,,,
98,Snare Drum,Crash Cymbal,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,,Verse 1,,,,,
a,,,Verse 1,,,,,
99,Bass Drum,Hi-hat (closed),Verse 1, ,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
100,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
101,Bass Drum,Hi-hat (closed),Verse 1,26,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
102,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
103,Bass Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
104,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
105,Bass Drum,Hi-hat (closed),Verse 1,27,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
106,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
107,Bass Drum,Hi-hat (closed),Verse 1, ,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
108,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
109,Bass Drum,Hi-hat (closed),Verse 1,28,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
110,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
111,Bass Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
112,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
113,Bass Drum,Hi-hat (closed),Verse 1,29,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
114,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
115,Bass Drum,Hi-hat (closed),Verse 1, ,,,,
e,,,Verse 1,,,,,
&,Hi-hat (closed),,Verse 1,,,,,
a,,,Verse 1,,,,,
116,Snare Drum,Hi-hat (closed),Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
117,Bass Drum,Hi-hat (closed),Verse 1,30,,,,
e,,,Verse 1,,,,,
&,Snare Drum,Tom-tom,Verse 1,,,,,
a,,,Verse 1,,,,,
118,Hi-hat (closed),,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Hi-hat (closed),Verse 1,,,,,
a,,,Verse 1,,,,,
119,Snare Drum,Tom-tom,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,,Verse 1,,,,,
a,,,Verse 1,,,,,
120,Snare Drum,Tom-tom,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,,Verse 1,,,,,
a,,,Verse 1,,,,,
121,Bass Drum,Tom-tom,Verse 1,31,,,,
e,,,Verse 1,,,,,
&,Ride Cymbal,,Verse 1,,,,,
a,,,Verse 1,,,,,
122,Snare Drum,Ride Cymbal,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Tom-tom,Verse 1,,,,,
a,,,Verse 1,,,,,
123,Ride Cymbal,,Verse 1, ,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Ride Cymbal,Verse 1,,,,,
a,,,Verse 1,,,,,
124,Snare Drum,Ride Cymbal,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Ride Cymbal,,Verse 1,,,,,
a,,,Verse 1,,,,,
125,Bass Drum,Tom-tom,Verse 1,32,,,,
e,,,Verse 1,,,,,
&,Ride Cymbal,,Verse 1,,,,,
a,,,Verse 1,,,,,
126,Snare Drum,Ride Cymbal,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Tom-tom,Verse 1,,,,,
a,,,Verse 1,,,,,
127,Ride Cymbal,,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Ride Cymbal,Verse 1,,,,,
a,,,Verse 1,,,,,
128,Snare Drum,Ride Cymbal,Verse 1,,,,,
e,,,Verse 1,,,,,
&,Bass Drum,Ride Cymbal,Verse 1,,,,,
